params: /var/spool/slurmd/job30980539/slurm_script, params_128.txt, 
Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=128
	 ny=128
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
	 domain_decomposition=2
	 communication=2
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 128 0 128
I am rank 0, my neighbours are: left: -1, right: -1, bottom: -1, top: -1
I am writing output_source
Step 777, Diff=7.66046e-05
Step 778, Diff=7.65175e-05
Step 779, Diff=7.64306e-05
Step 780, Diff=7.63439e-05
Step 781, Diff=7.62575e-05
Step 782, Diff=7.61712e-05
Step 783, Diff=7.60851e-05
Step 784, Diff=7.59992e-05
Step 785, Diff=7.59135e-05
Step 786, Diff=7.58279e-05
Step 787, Diff=7.57426e-05
Step 788, Diff=7.56575e-05
Step 789, Diff=7.55725e-05
Step 790, Diff=7.54878e-05
Step 791, Diff=7.54032e-05
Step 792, Diff=7.53189e-05
Step 793, Diff=7.52347e-05
Step 794, Diff=7.51507e-05
Step 795, Diff=7.50669e-05
Step 796, Diff=7.49832e-05
Step 797, Diff=7.48998e-05
Step 798, Diff=7.48165e-05
Step 799, Diff=7.47335e-05
Step 800, Diff=7.46506e-05
Step 801, Diff=7.45679e-05
Step 802, Diff=7.44854e-05
Step 803, Diff=7.4403e-05
Step 804, Diff=7.43209e-05
Step 805, Diff=7.42389e-05
Step 806, Diff=7.41571e-05
Step 807, Diff=7.40755e-05
Step 808, Diff=7.3994e-05
Step 809, Diff=7.39127e-05
Step 810, Diff=7.38317e-05
Step 811, Diff=7.37507e-05
Step 812, Diff=7.367e-05
Step 813, Diff=7.35895e-05
Step 814, Diff=7.35091e-05
Step 815, Diff=7.34289e-05
Step 816, Diff=7.33488e-05
Step 817, Diff=7.3269e-05
